Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.C1,"urn:cite:hmt:vaimg.VA155VN-0657@0.2262,0.2998,0.2342,0.1345",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msA.hmt:12.C2,"urn:cite:hmt:vaimg.VA155VN-0657@0.2302,0.4313,0.2212,0.0533",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msA.hmt:12.C3,"urn:cite:hmt:vaimg.VA155VN-0657@0.2362,0.4771,0.2212,0.0413",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msA.hmt:12.C4,"urn:cite:hmt:vaimg.VA155VN-0657@0.2362,0.5109,0.2212,0.0646",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msA.hmt:12.C5,"urn:cite:hmt:vaimg.VA155VN-0657@0.2412,0.5698,0.2098,0.1326",urn:cite:hmt:msA.155v
urn:cts:greekLit:tlg5026.msA.hmt:12.C6,"urn:cite:hmt:vaimg.VA155VN-0657@0.2432,0.695,0.5636,0.0518",urn:cite:hmt:msA.155v
