Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:12.C1,"urn:cite:hmt:vaimg.VA155VN-0657@0.4505,0.29,0.0531,0.0285",urn:cts:greekLit:tlg5026.msAim
urn:cts:greekLit:tlg5026.msAim.hmt:12.C2,"urn:cite:hmt:vaimg.VA155VN-0657@0.4464,0.447,0.043,0.021",urn:cts:greekLit:tlg5026.msAim
urn:cts:greekLit:tlg5026.msAim.hmt:12.C3,"urn:cite:hmt:vaimg.VA155VN-0657@0.4434,0.5372,0.0661,0.0316",urn:cts:greekLit:tlg5026.msAim
urn:cts:greekLit:tlg5026.msAim.hmt:12.C4,"urn:cite:hmt:vaimg.VA155VN-0657@0.4364,0.565,0.0671,0.0218",urn:cts:greekLit:tlg5026.msAim
urn:cts:greekLit:tlg5026.msAim.hmt:12.C5,"urn:cite:hmt:vaimg.VA155VN-0657@0.4775,0.5838,0.034,0.0113",urn:cts:greekLit:tlg5026.msAim
urn:cts:greekLit:tlg5026.msAim.hmt:12.C6,"urn:cite:hmt:vaimg.VA155VN-0657@0.4484,0.6814,0.0571,0.0428",urn:cts:greekLit:tlg5026.msAim
